label,id,text,title,url,lang,source_lang,created_at,published_at,rssfeed_id,source,country,continent,reference_id,reference_key,keyword_list,location_list,publication_date,CLS_Lexique Sécurité Alimentaire,CLS_Relevance,CLS_Usefulness,CLS_Relevance Yes/No,CLS_Topic
0,02XWR02BCE,"Crise sanitaire, recrutements, succession… Les patrons africains à l’épreuve

La confiance est de retour. Plus encore qu’en 2019, avant la pandémie de Covid, les patrons africains sont optimistes. Bien sûr, les challenges ne manquent pas. Le retour à la normale espéré n’a pas eu lieu et beaucoup de CEO doivent actuellement gérer les importantes perturbations nées de la guerre menée par la Russie en Ukraine, de la hausse des prix de l’énergie à celle des taux d’intérêt, en passant par l’inflation et la remise à plat de leur stratégie d’approvisionnement.
Mais durant la pandémie, ils ont pu évaluer leur résilience face à des chocs externes d’autant plus inattendus qu’ils étaient d’une ampleur sans précédent. Et nombre de dirigeants d’entreprise sont sortis rassurés par leur capacité à faire face à l’imprévisible. Ils soulignent sans surprise l’importance de la numérisation de leur fonctionnement, mais aussi du renforcement du suivi de la performance de leurs activités (reporting, KPI). Alors quand certaines entreprises internationales renoncent à l’Afrique, les champions continentaux sont déterminés à aller de l’avant.
Optimisme
Selon l’étude réalisée par le cabinet Deloitte pour l’Africa CEO Forum organisé en juin, 78 % des 200 dirigeants d’entreprise africains interrogés se disaient confiants concernant les perspectives économiques de leur secteur en 2022, contre 60 % au début de 2020, avant la pandémie de Covid-19, et seulement 40 % après la première vague de contamination.",,,,,,,,,,,,,,,,,,,,
0,03URLSTT7L,"Transfert de l’énergie solaire depuis l’espace: la Chine parle de son exploit

Le projet de la Chine relatif à la conversion de la lumière solaire dans l’espace en alimentation électrique pour la propulsion des satellites en orbite et la transmission de cette énergie vers la terre poursuit son évolution. En effet, selon les informations rapportées par CGTN, les premiers tests effectués au cours de ce mois se sont révélés concluants. A en croire l’équipe de 100 personnes qui travaille sur le projet du nom de *****, le fabricant chinois China Academy of Space Technology (CAST), le travail s’est basé sur la lentille qui permet de collecter la lumière.

La difficulté rencontrée dans la collecte est le transport des antennes de 200 kg. Le responsable de la mission a dû solliciter l’aide de plusieurs étudiants. Ceci aura permis de gagner trois ans sur le projet. Selon ces scientifiques chinois, d’ici 2028, une expérience de transfert de haute tension dans l'espace et de transmission d'énergie sans fil pourrait être possible en orbite terrestre.
Deux gigawatts d'électricité en 2050 
La capacité de production du satellite pourrait être de 10 kilowatts. Il pourrait être en mesure de transporter un quart des réseaux de cellules solaires. Deux ans plus tard, les scientifiques espèrent que le satellite produise 10 fois plus de kilowatts. Le but est qu’en 2050, une centrale commerciale soit construite avec une capacité de production de deux gigawatts d'électricité.",,,,,,,,,,,,,,,,,,,,
1,08XCWWYT57,"Des céréales ukrainiennes vers l’Afrique : le début d’un compte-gouttes ?

L’équation est aussi simple que fatale : la Russie et l’Ukraine assurent 30% des exportations mondiales de blé ; l’Ukraine agressée souhaitait réserver sa production de cultures de base à son marché national ; l’escalade des sanctions imposées à la Russie rendent les banques frileuses à financer le commerce des productions russes ; le conflit qui oppose Kiev et Moscou perturbe le fonctionnement des ports ; plusieurs pays d’Afrique, notamment de l’Ouest, importent plus de la moitié de leur blé d’Ukraine et de Russie…
Influencé ou pas par la visite en juin de ----------, président en exercice de l’Union africaine, à ----------------, un accord a été signé par Kiev et Moscou, en juillet, via une médiation de la Turquie et sous l’égide de l’ONU, pour débloquer l’exportation des céréales ukrainiennes. La mise en œuvre dudit accord suscitera d’abord inquiétude, quand sera dérouté le Razoni, le premier bateau à quitter l’Ukraine. Le cargo devait accoster au Liban. Il rejoindra finalement la Syrie de l’allié de -------, ------ el------…
Internationale des mangeurs de pain
Puis les navires chargés de céréales prendront enfin des destinations prévues comme la Turquie, l’Italie ou la Chine. Quid de l’Afrique dans la file d’attente internationale des mangeurs de pain ? Quelque 283 millions de personnes souffrant déjà de la faim, sur le continent, avant même que ne débute la guerre, l’Organisation des Nations Unies a enclenché un processus humanitaire. Mardi, le premier navire affrété par le Programme alimentaire mondial (PAM) quittait le port ukrainien de Pivdenny, gorgé de quelque 23 000 tonnes de céréales destinées à l’Afrique. Le Brave Commander a choisi la destination de Djibouti, les vivres étant destinées aux consommateurs d’Éthiopie.
Soucieux de relations publiques avec l’Afrique, le ministre ukrainien de l’Infrastructure, Oleksandre Koubrakov, a dit espérer que suivent « deux ou trois » navires supplémentaires affrétés par l’ONU. Certes, la nouvelle est bonne, pour le continent, mais quel sera le rythme et quelles seront les quantités de ces opérations, lorsqu’on connaît la dimension de l’Afrique, le volume de ses besoins et l’éloignement ouest-africain du nœud djiboutien ?
Des observateurs panafricains estiment que les perturbations logistiques ukrainiennes devraient inspirer au continent un renoncement à importer du blé européen, au profit de céréales locales. La nouvelle stratégie de la Banque africaine de développement (BAD) est, en tout cas, d’aider les pays d’Afrique à « se passer du blé russe ». L’établissement a débloqué un milliard de dollars pour accompagner le secteur agricole vers une autosuffisance même progressive et relative.
Mais il y a loin de la coupe au quignon. Entre importations au compte-gouttes et changement de paradigme à moyen terme, les Africains scrutent les greniers en période de soudure…",,,,,,,,,,,,,,,,,,,,
1,09746LR4F6,"Les députés en séance plénière pour l'examen de la LFR, vendredi

Dakar, 17 mai (APS) - Les députés sénégalais se réuniront en séance plénière vendredi, à 16 heures, pour l’examen du Projet de loi n°07/2022 portant loi de finances rectificative pour l’année 2022, a appris l’APS du service de communication de l’Assemblée nationale, mardi.

Ce projet de loi sera défendu devant l’hémicycle par le ministre des Finances et du Budget, ***********************. 

Le gouvernement a adopté, mercredi dernier en conseil des ministres, un projet de loi de finances rectificative (LFR) d’un montant de 5.556,7 milliards de francs CFA.

Ce projet de loi de finances rectificative ‘’enregistre une hausse de 357,7 milliards en valeur absolue et de 6,9 % en valeur relative’’, en comparaison avec la loi de finances initiale.

‘’Suivant les orientations du président de la République, souligne le communiqué du Conseil des ministres, le projet de LFR prend notamment en compte l’amplification des transferts monétaires aux populations vulnérables, les subventions à l’énergie et le soutien aux prix des produits alimentaires, afin de renforcer le pouvoir d’achat des ménages.’’ 

‘’Il intègre également les besoins prioritaires en matière de dépenses de souveraineté et l’ensemble des engagements financiers du gouvernement pour améliorer significativement, et dans l’équité, les rémunérations des agents dans les différents secteurs de l’Administration’’, explique le ministre ***********, porte-parole du gouvernement.

Les recettes du projet de loi de finances pour 2022 avaient été arrêtées à 3.510,7 milliards de francs CFA, et les dépenses à 4.294,7 milliards.

Comparé à la loi de finances initiale de 2021, le budget 2022 a connu une hausse des recettes de 284,8 milliards (+9%) et des dépenses à 324,9 milliards (+8%).",,,,,,,,,,,,,,,,,,,,
1,09QJEPKIPQ,"L’ANSD relève une progression de 0, 8 % de l’inflation au premier trimestre

Dakar, 12 juil (APS) – Les prix à la consommation ont augmenté de 0, 8 % au premier trimestre de l’année 2022 par rapport à celui précédent, a-t-on appris mardi de l’Agence nationale de la statistique et de la démographie.

Cette hausse est essentiellement expliquée par celle des prix des produits alimentaires et boissons non alcoolisées (1,1%), des services de restaurants et hôtels (1,4%), des meubles, articles de ménage et entretien courant du foyer (+0,8%), signale l’ANSD dans une note sur les évolutions récentes de l’économie sénégalaise.

Cette progression des prix à la consommation est également avec le relèvement des coûts des boissons alcoolisées, tabac et stupéfiants (0,8 %) et des articles d’habillement et chaussures (0,7 %), alors que la baisse importante des prix des services de communication (-2,9 %) a atténué cette inflation.

‘’En comparaison au premier trimestre de 2021, les prix à la consommation se sont accrus de 6,1%, en relation avec la hausse des prix dans toutes les fonctions de consommation hormis les services de communication (-2,9%)’’, souligne le rapport rendu public mardi.

AKS",,,,,,,,,,,,,,,,,,,,
1,0BV7191EOS,"Passer de 75% à 100% de couverture des cantines scolaires

Le gouvernement béninois a l’ambition d’étendre le Programme National d’Alimentation Scolaire à toutes les Ecoles publiques du Bénin à l’horizon 2026. L’annonce a été faite, lundi 24 octobre 2022, par le ministre d’Etat chargé du Développement et de la Coordination de l’action gouvernementale, -------------------- à l’ouverture de la 23e édition du Forum mondial sur la nutrition de l’enfant.
S’exprimant, lundi 24 octobre 2022, à l’ouverture de la 23e édition du Forum mondial sur la nutrition de l’enfant tenu à Cotonou, --------------------, ministre d’Etat chargé du Développement et de la Coordination de l’action gouvernementale a fait savoir qu’ « à la date d’aujourd’hui, 75 % des écoliers béninois, soit 3 enfants sur 4 ont un repas chaud à midi par jour à l’école ».
Le gouvernement entend porter ce taux de couverture à 100% à l’horizon 2026 « de sorte que tous les écoliers aient accès à un repas chaud à midi par jour à l’école », a précisé le ministre d’Etat.
-----
www.24haubenin.bj ; L'information en temps réel
26 octobre 2022 par -----------",,,,,,,,,,,,,,,,,,,,
0,0EPEDKB3Q5,"Covid-19 : 288 nouvelles contaminations

Dakar, 3 jan (APS) – Le ministère de la santé a déclaré, lundi, avoir recensé 288 nouvelles contaminations au coronavirus enregistrées au cours des dernières 24 heures.

Ces nouvelles infections proviennent de tests virologiques réalisés sur un échantillon de 1942 personnes, soit un taux de positivité de 14,83%.

Il s’agit de 20 cas contacts suivis par les services sanitaires, 265 issus de la transmission communautaire localisés principalement à Dakar (184), Mbour (22), Ziguinchor (12), Kaolack (04, Thiès (02) et Oussouye (02) et 02 cas importés, interceptés, à partir de l’aéroport international Blaise Diagne (AIBD).

Le ministère de la santé a aussi indiqué que 133 patients hospitalisés ont été contrôlés négatifs et déclarés guéris, tandis que 7 graves sont pris en charge dans les services de réanimation.

Aucun cas de décès n’a été enregistré le dimanche 2 janvier 2022.

Depuis le début de la pandémie, le Sénégal a officiellement déclaré 75959 cas positifs. Parmi les personnes ayant contracté le virus, 72881 ont recouvré la santé, 1890 ont perdu la vie et 1187 sont sous traitement.

S’agissant de la campagne de vaccination, le ministère de la santé a indiqué que 1 365 802 personnes ont été vaccinées.",,,,,,,,,,,,,,,,,,,,
0,0LIXLP3XT7,"Coronavirus : un bilan quotidien de 15 contaminations

Dakar, 12 juil (APS) – Le ministère de la Santé et de l’Action sociale a déclaré, mardi, avoir recensé 15 nouvelles contaminations de Covid-19 sur des tests réalisés sur un échantillon de 411 individus lors des dernières 24 heures.

Toutes les nouvelles contaminations sont issues de la transmission communautaire et ont été détectées respectivement dans les départements de Dakar (13), Guédiawaye (01) et Rufisque (01), rapporte le bulletin consacré à l’évolution quotidienne de l’épidémie dans le pays.

Le document émanant du ministère de la Santé et de l’Action sociale souligne que 13 patients ont été, sur la même période, contrôlés négatifs et déclarés guéris.

Depuis le début de l’épidémie sur son territoire, le Sénégal a comptabilisé officiellement 86541 positifs de Covid-19. Parmi les personnes ayant jusque-là été contaminées, 84494 ont recouvré la santé, 1968 ont perdu la vie et 78 autres sont encore médicalement suivies.

Sur le front de la vaccination, 1 493890 personnes ont au moins reçu une dose de vaccins, plus d’un an après le lancement d’une campagne nationale, d’après les données du ministère de la Santé.

AKS",,,,,,,,,,,,,,,,,,,,
1,0U1O5H30GI,"Consommons Local : Le Burkin’Daaga Acte 5 prévu du 21 au 27 novembre

La 5e édition du Burkin’Daaga aura lieu du 21 au 27 novembre 2022 à -----------. Le lancement officiel de cette foire a eu lieu ce samedi 15 octobre 2022, afin de donner les grandes lignes qui vont encadrer cette activité. Ce lancement a donné suite à la journée de réseautage et de partage d’expériences qui a reçu quatre panelistes pour faciliter les échanges.
 La suite après cette publicité 

La grande foire du consommons local ou Burkin’Daaga aura lieu pour une 5e fois consécutive. Cette foire a pour but, de promouvoir et faire connaitre le savoir-faire des Burkinabè dans le secteur de l’alimentation, de l’agro-alimentaire, de l’industrie, de l’artisanat…
Cette année, c’est sous le thème « crise économique et alimentaire : défis et opportunités pour une adhésion populaire au consommons local » que l’édition a été placée. Un choix qui se justifie par le difficile contexte économique, social et alimentaire dans lequel le Burkina Faso est plongé depuis plusieurs années. Pour le comité d’organisation, ce thème est une incitation à l’endroit des Burkinabè, de changer de paradigmes pour aller vers le développement endogène.

Au programme de cette 5e édition, une foire du consommons local Burkin’Daaga, exposition-vente aura lieu du 21 au 27 novembre et une soirée gala dénommée Nidg-Pang Ram Youngo se tiendra le samedi 17 décembre 2022. Avant tout cela, une journée de réseautage et de partage d’expériences a été combinée au lancement officiel ce 15 octobre 2022 pour permettre aux producteurs et aux consommateurs d’améliorer leurs connaissances et collaborer efficacement.
« Ce réseautage va nous permettre de nous connaitre, de savoir qui fait quoi et qui vend quoi. Le Burkina Faso produit des merveilles, et ce réseautage est une vitrine de présentation du made in Burkina. Nous avons la volonté mais nous n’avons pas les moyens. Je pense que si on réunit nos intelligences, nous pouvons présenter une très bonne vitrine des produits made in Burkina », a fait entendre ------------------, président de l’association Burkina Wa-mêdô.
------------------, président de l’association Burkina Wa-mêdô
Le site du FESPACO est celui qui accueillera les festivités et vibrera aux rythmes de la 5e édition du Burkin’Daaga. Trois types de stands à savoir les stands d’expositions ventes qui sont à 60 000 FCFA, les stands institutionnels qui sont à 125 000 FCFA et les stands maquis-resto qui sont à 125 000 FCFA sont proposés à ceux qui ont la volonté d’exposer leurs produits.
Le Burkin’Daaga est porté par l’association Burkina Wa-mêdô, une association à but non lucratif qui œuvre à la promotion des produits locaux burkinabè.
---------------
Burkina 24

publicite",,,,,,,,,,,,,,,,,,,,
1,0XIF8YB7S7,"Tribune | "" ---------, il est temps que vous changez la donne "" (---------------------)

Ceci est une tribune de --------------------- sur l’actualité nationale.

Au ------------------------,
 La suite après cette publicité 

Vous seul pouvez changer la donne. En effet, si certains ont gagné la bataille médiatique, s’octroyant la lutte du peuple insurgé. Si certains ont compris bien longtemps le jeu qu’en restant à la maison ils seront aujourd’hui les maitres du jeu lors de ces assises ; contrairement à nous qui avons bravé tout danger, avons abandonné notre titre de président de parti, avons abandonné nos familles pour cette veillée dans la nuit du 1er au 2 octobre 2022 et lutter avec corps et âme parce que nous croyons à votre volonté et à la volonté du peuple à vouloir changer les choses.
---------, il est temps que vous changez la donne. Je suis offusqué que ces assises nationales soient animées par presque les mêmes personnalités politiques, presque les mêmes organisations de la société civile. Vous pourrez peut-être dire qu’ils sont indispensables pour une assise inclusive. Mais à chaque fois, nul ne donne l’occasion aux jeunes partis politiques de s’exprimer et de donner leur point de vue.
Chaque fois, ce sont les mêmes manigances, les coup bas et au final, peut-on toujours espérer avec cette vieille classe politique, ou avec ces jeunes qui n’ont de carrière que dans la politique ?
Les puissants nous écrasent toujours. Pourtant, il est temps qu’on écoute cette jeunesse d’hommes politiques qui a de véritables idées pour changer les choses et faire avancer le pays. Hélas ! c’est comme d’habitude.

Nous n’avons pas eu la chance de faire valoir nos idées, mais nous restons toujours sur notre position du MPSR1 au MPSR2 : Suppression ou gratuité du mandat à l’ALT, la réduction du nombre de ministres, la réduction réelle et sincère du train de vie du futur gouvernement.
Chacun lutte pour avoir une place pour manger sous le dos du peuple, pendant que les populations sont en train de mourir de faim, pendant que des soldats sont en train de mourir au front.  A quand le changement ? J’espère que votre intelligence académique vous permettra de faire attention aux vautours qui planent déjà autour de vous. Je vous souhaite bonne chance et beaucoup de courage car je sais combien, il est difficile d’être patriote dans un pays comme le nôtre.
La victoire appartient toujours à celui qui écoute son peuple.
Que Dieu bénisse le Burkina Faso
---------------------

publicite",,,,,,,,,,,,,,,,,,,,
